time;Bx;By;Bz;Btotal
51,63599991798401;0,21;14,75;-52,42;54,46
51,736000061035156;0,24;14,87;-52,41;54,48
51,83299994468689;0,16;14,74;-52,60;54,63
51,93400001525879;0,22;14,68;-52,54;54,55
52,03600001335144;0,15;14,82;-52,45;54,51
52,13599991798401;0,06;14,97;-52,59;54,68
52,236000061035156;0,17;14,92;-52,26;54,35
52,33500003814697;0,20;14,97;-52,65;54,74
52,43499994277954;0,22;14,87;-52,41;54,47
52,53699994087219;0,11;14,84;-52,49;54,55
52,63699984550476;0,07;14,88;-52,57;54,63
52,736000061035156;0,00;14,99;-52,47;54,57
52,835999965667725;0,13;14,83;-52,46;54,52
52,937000036239624;0,08;15,01;-52,48;54,59
53,03699994087219;0,15;14,86;-52,33;54,40
53,13699984550476;0,14;14,80;-52,23;54,29
53,234999895095825;0,11;14,87;-52,39;54,46
53,33699989318848;0,11;14,93;-52,47;54,56
53,437000036239624;0,11;14,95;-52,26;54,36
53,537999868392944;0,22;14,85;-52,37;54,43
53,63699984550476;0,16;14,90;-52,33;54,41
53,73699998855591;0,22;14,82;-52,28;54,34
53,835999965667725;0,20;14,94;-52,51;54,59
53,937999963760376;0,20;14,83;-52,43;54,49
54,03699994087219;0,15;14,80;-52,51;54,55
54,13699984550476;0,14;14,86;-52,61;54,67
54,23699998855591;0,18;14,84;-52,46;54,52
54,33800005912781;0,12;14,84;-52,35;54,41
54,437000036239624;0,16;14,90;-52,54;54,61
54,53699994087219;0,20;14,93;-52,49;54,57
54,63800001144409;0,15;15,02;-52,49;54,60
54,73799991607666;0,17;14,89;-52,33;54,40
54,83800005912781;0,21;14,89;-52,47;54,54
54,937000036239624;0,25;14,76;-52,52;54,56
55,03699994087219;0,18;14,71;-52,28;54,31
55,13699984550476;0,19;14,78;-52,29;54,34
55,23899984359741;0,19;14,82;-52,44;54,50
55,33899998664856;0,19;14,87;-52,61;54,67
55,437999963760376;0,21;14,88;-52,30;54,37
55,53699994087219;0,29;14,93;-52,48;54,56
55,638999938964844;0,18;14,89;-52,41;54,48
55,73899984359741;0,30;14,81;-52,60;54,65
55,83899998664856;0,22;14,70;-52,52;54,54
55,937999963760376;0,31;14,68;-52,60;54,61
